DateTime,GpsPos,EventNumber,Data,Team
2019-06-23 04:47:59,N3709.66W00653.95,331,2528,Team Tosca
2019-06-23 04:47:59,N3709.66W00653.95,640,788,Team Tosca
2019-06-23 04:47:59,N3709.66W00653.95,650,763,Team Tosca
2019-06-23 04:47:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:47:59,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:48:59,N3709.66W00653.95,331,2539,Team Tosca
2019-06-23 04:48:59,N3709.66W00653.95,640,786,Team Tosca
2019-06-23 04:48:59,N3709.66W00653.95,650,764,Team Tosca
2019-06-23 04:48:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:48:59,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 04:49:59,N3709.66W00653.95,331,2550,Team Tosca
2019-06-23 04:49:59,N3709.66W00653.95,640,785,Team Tosca
2019-06-23 04:49:59,N3709.66W00653.95,650,751,Team Tosca
2019-06-23 04:49:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:49:59,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 04:50:59,N3709.66W00653.95,331,2559,Team Tosca
2019-06-23 04:50:59,N3709.66W00653.95,640,786,Team Tosca
2019-06-23 04:50:59,N3709.66W00653.95,650,751,Team Tosca
2019-06-23 04:50:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:50:59,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 04:51:59,N3709.66W00653.95,331,2570,Team Tosca
2019-06-23 04:51:59,N3709.66W00653.95,640,785,Team Tosca
2019-06-23 04:51:59,N3709.66W00653.95,650,752,Team Tosca
2019-06-23 04:51:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:51:59,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 04:52:59,N3709.66W00653.95,331,2581,Team Tosca
2019-06-23 04:52:59,N3709.66W00653.95,640,784,Team Tosca
