Team Toccata;;
PB-01998;;
V3.1.17 ;;
DateTime;AlarmNumber;
2019-02-08 08:54:49;2113;
2019-02-08 08:54:49;2128;
2019-02-08 08:54:49;2129;
2019-02-08 08:54:49;2181;
2019-02-08 08:55:04;2151;
2019-02-08 08:55:09;2170;
2019-02-08 08:55:09;2171;
2019-02-08 09:14:47;33;
2019-02-08 10:39:29;1129;
2019-02-09 03:08:54;2117;
2019-02-09 03:08:54;2183;
2019-02-09 03:09:39;2117;
2019-02-09 03:09:39;2183;
2019-02-09 03:11:18;29;
2019-02-09 03:14:23;2117;
2019-02-09 03:14:23;2183;
2019-02-09 03:15:20;29;
2019-02-09 03:20:27;33;
2019-02-09 03:27:57;1129;
2019-02-09 03:58:54;1129;
2019-02-09 04:24:24;1129;
2019-02-09 04:25:54;1122;
2019-02-09 04:25:54;1126;
2019-02-09 04:25:54;1137;
2019-02-09 04:25:54;1187;
2019-02-09 04:25:55;1138;
2019-02-09 04:25:58;1109;
2019-02-09 04:25:58;1113;
2019-02-09 04:25:58;1128;
2019-02-09 04:25:58;1181;
2019-02-09 04:26:13;1151;
2019-02-09 04:26:18;1170;
2019-02-09 04:26:18;1171;
2019-02-09 04:30:10;1160;
2019-02-09 04:30:14;1161;
2019-02-09 04:30:15;1130;
2019-02-09 04:30:19;1131;
2019-02-09 04:30:37;1129;
2019-02-09 07:14:52;1107;
2019-02-09 08:00:59;1129;
2019-02-09 12:58:36;1129;
2019-02-09 13:58:48;1129;
2019-02-09 22:23:00;1107;
2019-02-11 04:04:54;1129;
2019-02-11 04:28:15;1129;
2019-02-12 09:18:43;1129;
2019-02-14 07:30:57;1107;
2019-02-16 07:41:07;96;
2019-02-27 15:23:58;66;
2019-03-01 11:36:46;33;
2019-03-04 07:31:00;33;
2019-03-04 17:41:17;2154;
2019-03-04 17:41:22;29;
2019-03-04 17:43:10;33;
2019-03-04 21:37:51;66;
2019-03-05 07:23:07;13;
2019-03-05 07:36:13;13;
2019-03-05 09:49:49;13;
2019-03-05 09:58:50;2154;
2019-03-05 10:01:50;14;
2019-03-05 18:14:39;2154;
2019-03-05 18:24:10;33;
2019-03-05 18:40:20;66;
2019-03-06 07:06:21;2154;
2019-03-06 07:09:26;14;
2019-03-06 08:32:41;40;
2019-03-06 18:26:52;2154;
2019-03-06 18:28:02;40;
2019-03-06 18:29:25;40;
2019-03-06 18:30:58;40;
2019-03-06 20:44:26;2154;
2019-03-06 22:45:41;2154;
2019-03-06 22:54:24;40;
2019-03-06 22:55:19;13;
2019-03-07 05:35:09;2154;
2019-03-07 05:38:16;14;
2019-03-07 09:53:56;2154;
2019-03-07 09:55:10;40;
2019-03-07 09:55:37;13;
2019-03-07 19:26:30;2154;
2019-03-07 19:27:31;40;
2019-03-08 10:51:06;13;
2019-03-08 13:19:05;1129;
2019-03-08 16:14:39;33;
2019-03-08 16:41:37;66;
2019-03-08 21:21:38;66;
2019-03-10 14:37:09;1154;
2019-03-10 14:39:16;1129;
2019-03-10 14:45:40;1122;
2019-03-10 14:45:40;1126;
2019-03-10 14:45:40;1137;
2019-03-10 14:45:40;1187;
2019-03-10 14:45:41;1138;
2019-03-10 14:45:44;1109;
2019-03-10 14:45:44;1113;
2019-03-10 14:45:44;1128;
2019-03-10 14:45:44;1181;
2019-03-10 14:45:59;1151;
2019-03-10 14:46:04;1170;
2019-03-10 14:46:04;1171;
2019-03-10 14:51:11;1129;
2019-03-10 14:51:40;1129;
2019-03-10 18:02:36;33;
2019-03-10 18:41:05;66;
2019-03-12 20:42:31;96;
2019-03-12 22:45:51;66;
2019-03-12 22:50:02;40;
2019-03-13 05:44:13;66;
2019-03-17 21:10:58;1116;
2019-03-17 21:10:58;1182;
2019-03-17 21:12:02;2154;
2019-03-17 23:49:43;1154;
2019-03-17 23:50:04;2154;
2019-03-18 02:39:35;2154;
2019-03-18 02:39:42;1154;
2019-03-18 08:06:16;2154;
2019-03-18 08:06:17;1154;
2019-03-18 09:29:32;2154;
2019-03-18 09:32:41;14;
2019-03-18 09:40:40;1154;
2019-03-18 09:40:42;1130;
2019-03-18 09:40:46;1160;
2019-03-18 09:40:57;1163;
2019-03-18 09:40:57;1164;
2019-03-18 09:40:57;1161;
2019-03-18 09:41:07;1153;
2019-03-18 09:41:53;1161;
2019-03-18 09:42:11;1161;
2019-03-18 09:42:29;1161;
2019-03-18 09:42:56;1161;
2019-03-18 09:43:32;1161;
2019-03-18 09:43:50;1161;
2019-03-18 09:44:37;1161;
2019-03-18 09:45:48;33;
2019-03-18 09:49:07;1161;
2019-03-18 09:49:19;1161;
2019-03-18 10:06:51;1160;
2019-03-18 10:06:56;1130;
2019-03-18 10:15:33;1129;
2019-03-18 10:18:55;1122;
2019-03-18 10:18:55;1126;
2019-03-18 10:18:55;1137;
2019-03-18 10:18:55;1187;
2019-03-18 10:18:56;1138;
2019-03-18 10:18:59;1109;
2019-03-18 10:18:59;1113;
2019-03-18 10:18:59;1128;
2019-03-18 10:18:59;1181;
2019-03-18 10:19:14;1151;
2019-03-18 10:19:19;1170;
2019-03-18 10:19:19;1171;
2019-03-18 10:19:22;33;
2019-03-18 10:32:53;1160;
2019-03-18 10:32:53;1161;
2019-03-18 10:32:58;1130;
2019-03-18 11:06:35;1161;
2019-03-18 11:22:59;1160;
2019-03-18 11:23:04;1130;
2019-03-18 11:35:43;33;
2019-03-18 11:47:15;1161;
2019-03-18 11:48:01;1160;
2019-03-18 11:48:06;1130;
2019-03-18 12:09:35;1129;
2019-03-18 13:23:55;1122;
2019-03-18 13:23:55;1126;
2019-03-18 13:23:55;1137;
2019-03-18 13:23:55;1187;
2019-03-18 13:23:56;1138;
2019-03-18 13:23:59;1109;
2019-03-18 13:23:59;1113;
2019-03-18 13:23:59;1128;
2019-03-18 13:23:59;1181;
2019-03-18 13:24:14;1151;
2019-03-18 13:25:34;1129;
2019-03-18 13:28:36;1160;
2019-03-18 13:28:41;1130;
2019-03-18 13:28:48;1161;
2019-03-18 17:39:13;1161;
2019-03-18 17:39:30;1161;
2019-03-18 17:39:54;1161;
2019-03-18 17:40:11;1161;
2019-03-18 17:40:23;1161;
2019-03-18 17:40:52;1161;
2019-03-18 17:44:17;2154;
2019-03-18 18:04:08;1160;
2019-03-18 18:04:13;1130;
2019-03-18 22:58:20;2165;
2019-03-18 22:58:20;2130;
2019-03-18 22:58:45;2153;
