DateTime,GpsPos,EventNumber,Data,Team
2019-03-18 07:36:08,N5224.0576E00446.595,341,4021,Team Toccata
2019-03-18 07:36:08,N5224.0576E00446.595,640,1613,Team Toccata
2019-03-18 07:36:08,N5224.0576E00446.595,650,1610,Team Toccata
2019-03-18 07:36:08,N5224.0576E00446.595,760,84,Team Toccata
2019-03-18 07:36:08,N5224.0576E00446.595,770,95,Team Toccata
2019-03-18 07:37:08,N5224.0577E00446.595,341,4034,Team Toccata
2019-03-18 07:37:08,N5224.0577E00446.595,640,1615,Team Toccata
2019-03-18 07:37:08,N5224.0577E00446.595,650,1607,Team Toccata
2019-03-18 07:37:08,N5224.0577E00446.595,760,84,Team Toccata
2019-03-18 07:37:08,N5224.0577E00446.595,770,95,Team Toccata
2019-03-18 07:38:08,N5224.0578E00446.594,341,4048,Team Toccata
2019-03-18 07:38:08,N5224.0578E00446.594,640,1605,Team Toccata
2019-03-18 07:38:08,N5224.0578E00446.594,650,1616,Team Toccata
2019-03-18 07:38:08,N5224.0578E00446.594,760,84,Team Toccata
2019-03-18 07:38:08,N5224.0578E00446.594,770,95,Team Toccata
2019-03-18 07:39:08,N5224.0579E00446.595,341,4061,Team Toccata
2019-03-18 07:39:08,N5224.0579E00446.595,640,1594,Team Toccata
2019-03-18 07:39:08,N5224.0579E00446.595,650,1587,Team Toccata
2019-03-18 07:39:08,N5224.0579E00446.595,760,84,Team Toccata
2019-03-18 07:39:08,N5224.0579E00446.595,770,95,Team Toccata
2019-03-18 07:40:08,N5224.0575E00446.595,341,4074,Team Toccata
2019-03-18 07:40:08,N5224.0575E00446.595,640,1567,Team Toccata
2019-03-18 07:40:08,N5224.0575E00446.595,650,1545,Team Toccata
2019-03-18 07:40:08,N5224.0575E00446.595,760,85,Team Toccata
2019-03-18 07:40:08,N5224.0575E00446.595,770,95,Team Toccata
2019-03-18 07:41:08,N5224.0574E00446.595,341,4087,Team Toccata
2019-03-18 07:41:08,N5224.0574E00446.595,640,1556,Team Toccata
2019-03-18 07:41:08,N5224.0574E00446.595,650,1550,Team Toccata
2019-03-18 07:41:08,N5224.0574E00446.595,760,85,Team Toccata
2019-03-18 07:41:08,N5224.0574E00446.595,770,96,Team Toccata
2019-03-18 07:42:09,N5224.0571E00446.595,341,4100,Team Toccata
2019-03-18 07:42:09,N5224.0571E00446.595,640,1588,Team Toccata
2019-03-18 07:42:09,N5224.0571E00446.595,650,1578,Team Toccata
2019-03-18 07:42:09,N5224.0571E00446.595,760,86,Team Toccata
2019-03-18 07:42:09,N5224.0571E00446.595,770,97,Team Toccata
2019-03-18 07:43:09,N5224.0572E00446.595,341,4111,Team Toccata
2019-03-18 07:43:09,N5224.0572E00446.595,640,1572,Team Toccata
2019-03-18 07:43:09,N5224.0572E00446.595,650,1574,Team Toccata
2019-03-18 07:43:09,N5224.0572E00446.595,760,86,Team Toccata
2019-03-18 07:43:09,N5224.0572E00446.595,770,97,Team Toccata
2019-03-18 07:44:09,N5224.0572E00446.595,341,4122,Team Toccata
2019-03-18 07:44:09,N5224.0572E00446.595,640,1521,Team Toccata
2019-03-18 07:44:09,N5224.0572E00446.595,650,1536,Team Toccata
2019-03-18 07:44:09,N5224.0572E00446.595,760,87,Team Toccata
2019-03-18 07:44:09,N5224.0572E00446.595,770,98,Team Toccata
2019-03-18 07:45:09,N5224.0573E00446.595,341,4133,Team Toccata
2019-03-18 07:45:09,N5224.0573E00446.595,640,1501,Team Toccata
2019-03-18 07:45:09,N5224.0573E00446.595,650,1516,Team Toccata
2019-03-18 07:45:09,N5224.0573E00446.595,760,88,Team Toccata
2019-03-18 07:45:09,N5224.0573E00446.595,770,99,Team Toccata
2019-03-18 07:46:09,N5224.0574E00446.595,341,4142,Team Toccata
2019-03-18 07:46:09,N5224.0574E00446.595,640,1525,Team Toccata
2019-03-18 07:46:09,N5224.0574E00446.595,650,1529,Team Toccata
2019-03-18 07:46:09,N5224.0574E00446.595,760,90,Team Toccata
2019-03-18 07:46:09,N5224.0574E00446.595,770,100,Team Toccata
2019-03-18 07:47:09,N5224.0574E00446.595,341,4153,Team Toccata
2019-03-18 07:47:09,N5224.0574E00446.595,640,1553,Team Toccata
2019-03-18 07:47:09,N5224.0574E00446.595,650,1540,Team Toccata
2019-03-18 07:47:09,N5224.0574E00446.595,760,91,Team Toccata
2019-03-18 07:47:09,N5224.0574E00446.595,770,100,Team Toccata
2019-03-18 07:48:09,N5224.0575E00446.595,341,4164,Team Toccata
2019-03-18 07:48:09,N5224.0575E00446.595,640,1569,Team Toccata
2019-03-18 07:48:09,N5224.0575E00446.595,650,1545,Team Toccata
2019-03-18 07:48:09,N5224.0575E00446.595,760,91,Team Toccata
2019-03-18 07:48:09,N5224.0575E00446.595,770,100,Team Toccata
2019-03-18 07:49:09,N5224.0574E00446.595,341,4175,Team Toccata
2019-03-18 07:49:09,N5224.0574E00446.595,640,1558,Team Toccata
2019-03-18 07:49:09,N5224.0574E00446.595,650,1538,Team Toccata
2019-03-18 07:49:09,N5224.0574E00446.595,760,92,Team Toccata
2019-03-18 07:49:09,N5224.0574E00446.595,770,100,Team Toccata
2019-03-18 07:50:09,N5224.0575E00446.595,341,4187,Team Toccata
2019-03-18 07:50:09,N5224.0575E00446.595,640,1519,Team Toccata
2019-03-18 07:50:09,N5224.0575E00446.595,650,1484,Team Toccata
2019-03-18 07:50:09,N5224.0575E00446.595,760,93,Team Toccata
2019-03-18 07:50:09,N5224.0575E00446.595,770,100,Team Toccata
2019-03-18 07:51:09,N5224.0571E00446.595,341,4199,Team Toccata
2019-03-18 07:51:09,N5224.0571E00446.595,640,1502,Team Toccata
2019-03-18 07:51:09,N5224.0571E00446.595,650,1453,Team Toccata
2019-03-18 07:51:09,N5224.0571E00446.595,760,94,Team Toccata
2019-03-18 07:51:09,N5224.0571E00446.595,770,100,Team Toccata
2019-03-18 07:52:09,N5224.0580E00446.595,341,4210,Team Toccata
2019-03-18 07:52:09,N5224.0580E00446.595,640,1503,Team Toccata
2019-03-18 07:52:09,N5224.0580E00446.595,650,1437,Team Toccata
2019-03-18 07:52:09,N5224.0580E00446.595,760,96,Team Toccata
2019-03-18 07:52:09,N5224.0580E00446.595,770,100,Team Toccata
2019-03-18 07:53:09,N5224.0608E00446.594,341,4222,Team Toccata
2019-03-18 07:53:09,N5224.0608E00446.594,640,1513,Team Toccata
2019-03-18 07:53:09,N5224.0608E00446.594,650,1421,Team Toccata
2019-03-18 07:53:09,N5224.0608E00446.594,760,97,Team Toccata
2019-03-18 07:53:09,N5224.0608E00446.594,770,100,Team Toccata
2019-03-18 07:54:09,N5224.0594E00446.594,341,4233,Team Toccata
2019-03-18 07:54:09,N5224.0594E00446.594,640,1529,Team Toccata
2019-03-18 07:54:09,N5224.0594E00446.594,650,1418,Team Toccata
2019-03-18 07:54:09,N5224.0594E00446.594,760,98,Team Toccata
2019-03-18 07:54:09,N5224.0594E00446.594,770,100,Team Toccata
2019-03-18 07:55:09,N5224.0589E00446.595,341,4245,Team Toccata
2019-03-18 07:55:09,N5224.0589E00446.595,640,1543,Team Toccata
2019-03-18 07:55:09,N5224.0589E00446.595,650,1416,Team Toccata
2019-03-18 07:55:09,N5224.0589E00446.595,760,99,Team Toccata
2019-03-18 07:55:09,N5224.0589E00446.595,770,100,Team Toccata
2019-03-18 07:56:09,N5224.0587E00446.595,341,4256,Team Toccata
2019-03-18 07:56:09,N5224.0587E00446.595,640,1558,Team Toccata
2019-03-18 07:56:09,N5224.0587E00446.595,650,1419,Team Toccata
2019-03-18 07:56:09,N5224.0587E00446.595,760,100,Team Toccata
2019-03-18 07:56:09,N5224.0587E00446.595,770,100,Team Toccata
2019-03-18 07:57:09,N5224.0584E00446.595,341,4268,Team Toccata
2019-03-18 07:57:09,N5224.0584E00446.595,640,1545,Team Toccata
2019-03-18 07:57:09,N5224.0584E00446.595,650,1401,Team Toccata
2019-03-18 07:57:09,N5224.0584E00446.595,760,100,Team Toccata
2019-03-18 07:57:09,N5224.0584E00446.595,770,100,Team Toccata
2019-03-18 07:58:09,N5224.0582E00446.595,341,4279,Team Toccata
2019-03-18 07:58:09,N5224.0582E00446.595,640,1525,Team Toccata
2019-03-18 07:58:09,N5224.0582E00446.595,650,1399,Team Toccata
2019-03-18 07:58:09,N5224.0582E00446.595,760,100,Team Toccata
2019-03-18 07:58:09,N5224.0582E00446.595,770,100,Team Toccata
2019-03-18 07:59:09,N5224.0580E00446.595,341,4291,Team Toccata
2019-03-18 07:59:09,N5224.0580E00446.595,640,1524,Team Toccata
2019-03-18 07:59:09,N5224.0580E00446.595,650,1391,Team Toccata
2019-03-18 07:59:09,N5224.0580E00446.595,760,100,Team Toccata
2019-03-18 07:59:09,N5224.0580E00446.595,770,100,Team Toccata
2019-03-18 08:00:09,N5224.0580E00446.595,341,4302,Team Toccata
2019-03-18 08:00:09,N5224.0580E00446.595,640,1496,Team Toccata
2019-03-18 08:00:09,N5224.0580E00446.595,650,1375,Team Toccata
2019-03-18 08:00:09,N5224.0580E00446.595,760,100,Team Toccata
2019-03-18 08:00:09,N5224.0580E00446.595,770,100,Team Toccata
2019-03-18 08:01:09,N5224.0580E00446.595,341,4313,Team Toccata
2019-03-18 08:01:09,N5224.0580E00446.595,640,1484,Team Toccata
2019-03-18 08:01:09,N5224.0580E00446.595,650,1368,Team Toccata
2019-03-18 08:01:09,N5224.0580E00446.595,760,100,Team Toccata
2019-03-18 08:01:09,N5224.0580E00446.595,770,100,Team Toccata
2019-03-18 08:02:09,N5224.0579E00446.595,341,4325,Team Toccata
2019-03-18 08:02:09,N5224.0579E00446.595,640,1459,Team Toccata
2019-03-18 08:02:09,N5224.0579E00446.595,650,1354,Team Toccata
2019-03-18 08:02:09,N5224.0579E00446.595,760,100,Team Toccata
