Data,DateTime,EventNumber,GpsPos,Team
2293,2019-08-23 19:59:39,640,N1813.46W09427.91,Team Tosca
2180,2019-08-23 19:59:39,650,N1813.46W09427.91,Team Tosca
100,2019-08-23 19:59:39,760,N1813.46W09427.91,Team Tosca
100,2019-08-23 19:59:39,770,N1813.46W09427.91,Team Tosca
2387,2019-08-23 20:00:39,640,N1813.46W09427.91,Team Tosca
2285,2019-08-23 20:00:39,650,N1813.46W09427.91,Team Tosca
100,2019-08-23 20:00:39,760,N1813.46W09427.91,Team Tosca
100,2019-08-23 20:00:39,770,N1813.46W09427.91,Team Tosca
2404,2019-08-23 20:01:39,640,N1813.46W09427.91,Team Tosca
2298,2019-08-23 20:01:39,650,N1813.46W09427.91,Team Tosca
100,2019-08-23 20:01:39,760,N1813.46W09427.91,Team Tosca
100,2019-08-23 20:01:39,770,N1813.46W09427.91,Team Tosca
0,2019-08-23 20:02:15,450,N1813.46W09427.91,Team Tosca
0,2019-08-23 20:02:16,250,-,Team Tosca
0,2019-08-23 20:02:28,165,N1813.46W09427.91,Team Tosca
0,2019-08-23 20:02:28,400,-,Team Tosca
0,2019-08-23 20:03:07,160,N1813.46W09427.91,Team Tosca
0,2019-08-23 20:03:07,380,-,Team Tosca
0,2019-08-23 20:03:10,190,-,Team Tosca
0,2019-08-23 20:07:50,210,-,Team Tosca
0,2019-08-23 20:07:50,370,-,Team Tosca
0,2019-08-23 20:07:52,150,N1813.46W09427.91,Team Tosca
1,2019-08-23 20:09:33,430,-,Team Tosca
2,2019-08-23 20:09:34,430,-,Team Tosca
0,2019-08-23 20:09:39,390,-,Team Tosca
2326,2019-08-23 20:09:39,640,N1813.46W09427.91,Team Tosca
2208,2019-08-23 20:09:39,650,N1813.46W09427.91,Team Tosca
100,2019-08-23 20:09:39,760,N1813.46W09427.91,Team Tosca
100,2019-08-23 20:09:39,770,N1813.46W09427.91,Team Tosca
0,2019-08-23 20:09:51,155,N1813.46W09427.91,Team Tosca
2408,2019-08-23 20:10:39,640,N1813.46W09427.91,Team Tosca
2300,2019-08-23 20:10:39,650,N1813.46W09427.91,Team Tosca
100,2019-08-23 20:10:39,760,N1813.46W09427.91,Team Tosca
100,2019-08-23 20:10:39,770,N1813.46W09427.91,Team Tosca
2409,2019-08-23 20:11:39,640,N1813.46W09427.91,Team Tosca
2289,2019-08-23 20:11:39,650,N1813.46W09427.91,Team Tosca
100,2019-08-23 20:11:39,760,N1813.46W09427.91,Team Tosca
100,2019-08-23 20:11:39,770,N1813.46W09427.91,Team Tosca
2410,2019-08-23 20:12:39,640,N1813.46W09427.91,Team Tosca
2281,2019-08-23 20:12:39,650,N1813.46W09427.91,Team Tosca
99,2019-08-23 20:12:39,760,N1813.46W09427.91,Team Tosca
99,2019-08-23 20:12:39,770,N1813.46W09427.91,Team Tosca
0,2019-08-23 20:12:51,450,N1813.46W09427.91,Team Tosca
0,2019-08-23 20:12:51,250,-,Team Tosca
0,2019-08-23 20:13:03,165,N1813.46W09427.91,Team Tosca
0,2019-08-23 20:13:03,400,-,Team Tosca
0,2019-08-23 20:13:28,160,N1813.46W09427.91,Team Tosca
0,2019-08-23 20:13:28,380,-,Team Tosca
0,2019-08-23 20:13:31,190,-,Team Tosca
0,2019-08-23 20:18:32,210,-,Team Tosca
0,2019-08-23 20:18:32,370,-,Team Tosca
0,2019-08-23 20:18:34,150,N1813.45W09427.91,Team Tosca
1,2019-08-23 20:20:16,430,-,Team Tosca
2,2019-08-23 20:20:17,430,-,Team Tosca
0,2019-08-23 20:20:22,390,-,Team Tosca
0,2019-08-23 20:20:31,155,N1813.45W09427.91,Team Tosca
2399,2019-08-23 20:20:40,640,N1813.45W09427.91,Team Tosca
2294,2019-08-23 20:20:40,650,N1813.45W09427.91,Team Tosca
100,2019-08-23 20:20:40,760,N1813.45W09427.91,Team Tosca
100,2019-08-23 20:20:40,770,N1813.45W09427.91,Team Tosca
2415,2019-08-23 20:21:40,640,N1813.45W09427.92,Team Tosca
2305,2019-08-23 20:21:40,650,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:21:40,760,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:21:40,770,N1813.45W09427.92,Team Tosca
2412,2019-08-23 20:22:40,640,N1813.45W09427.92,Team Tosca
2292,2019-08-23 20:22:40,650,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:22:40,760,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:22:40,770,N1813.45W09427.92,Team Tosca
0,2019-08-23 20:23:16,220,N1813.45W09427.92,Team Tosca
0,2019-08-23 20:23:16,806,N1813.45W09427.92,Team Tosca
2,2019-08-23 20:23:40,331,N1813.45W09427.92,Team Tosca
1602,2019-08-23 20:23:40,640,N1813.45W09427.92,Team Tosca
1544,2019-08-23 20:23:40,650,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:23:40,760,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:23:40,770,N1813.45W09427.92,Team Tosca
10,2019-08-23 20:24:40,331,N1813.45W09427.92,Team Tosca
1899,2019-08-23 20:24:40,640,N1813.45W09427.92,Team Tosca
1839,2019-08-23 20:24:40,650,N1813.45W09427.92,Team Tosca
98,2019-08-23 20:24:40,760,N1813.45W09427.92,Team Tosca
